Enrollmentno,choice1,choice2,choice3,choice4,choice5,choice6,choice7,choice8,choice9,choice10
E7068,C3971-CSE,C2165-ICT,C3971-ICT,C7748-ME,C2342-EC,C2000-ME,C4070-ME,C7198-EE,C8200-ICT,C8772-IC
E6507,C3971-ICT,C4852-CSE,C4852-ME,C8813-EC,C6679-ME,C9739-ME,C6792-EC,C2051-EE,C1902-CH,C1899-EE
E4325,C4852-IT,C2165-ICT,C2165-CSE,C4695-ME,C1961-ME,C6698-ME,C2511-EC,C6525-ICT,C8852-IC,C4650-ICT
E8388,C2165-IT,C3971-IT,C2165-ICT,C3305-ME,C4922-ME,C6706-EC,C9590-ME,C7937-CH,C9896-ICT,C9416-IC
E6963,C3971-IT,C2165-ICT,C4852-CSE,C8405-ME,C9416-EC,C7748-EC,C2921-ME,C5019-IC,C4852-EE,C5049-EE
E8137,C4852-ICT,C3971-ME,C2165-IT,C9120-ME,C7071-ME,C7951-ME,C6792-ME,C1902-EE,C5583-EE,C4083-EE
E9151,C4852-ICT,C2165-ME,C3971-ME,C8743-ME,C8426-ME,C8405-ME,C4083-ME,C6679-IC,C9769-CH,C5479-CH
E7886,C4852-ME,C2165-IT,C2165-CSE,C2062-EC,C9120-ME,C5049-ME,C1899-EC,C8198-ICT,C5207-IC,C2165-ICT
E7013,C3971-CSE,C4852-IT,C2165-ME,C2165-ME,C5989-ME,C3305-EC,C9277-ME,C2051-CH,C2547-EE,C6301-EE
E7428,C2165-ICT,C4852-ICT,C4852-ME,C9080-EC,C5302-ME,C4515-EC,C2051-ME,C7937-EE,C4852-ICT,C6416-ICT
E4215,C3971-ICT,C4852-IT,C4852-ICT,C6301-ME,C8403-EC,C7937-EC,C4885-EC,C3973-CH,C9143-IC,C5724-ICT
E6011,C2165-IT,C3971-IT,C2165-ICT,C1745-EC,C6416-ME,C7128-ME,C5588-ME,C9120-EE,C2458-CH,C5302-IC
E3982,C4852-CSE,C3971-CSE,C3971-IT,C9557-ME,C5019-EC,C8772-EC,C7151-ME,C2996-IC,C5019-IC,C9751-ICT
E6733,C2165-ICT,C2165-IT,C3971-IT,C4070-EC,C5583-EC,C6073-ME,C9896-EC,C2000-ICT,C8200-IC,C5583-EE
E3023,C2165-CSE,C3971-CSE,C4852-CSE,C1961-EC,C7151-EC,C2000-ME,C8405-ME,C3799-IC,C6416-EE,C5479-IC
E9116,C3971-ME,C4852-CSE,C4852-CSE,C9277-ME,C5532-ME,C8426-EC,C2165-ME,C7906-IC,C9769-EE,C9120-EE
E8999,C3971-ME,C4852-CSE,C3971-CSE,C6698-ME,C6679-ME,C8426-ME,C4083-ME,C5588-ICT,C9143-ICT,C6706-EE
E3563,C4852-ICT,C2165-ME,C4852-CSE,C5302-EC,C1902-EC,C9143-ME,C4650-EC,C9080-IC,C9080-IC,C8403-CH
E2192,C3971-IT,C4852-ICT,C3971-ICT,C5583-ME,C3305-ME,C6706-ME,C2547-ME,C8772-EE,C6698-EE,C3900-EE
E2808,C2165-IT,C3971-IT,C2165-IT,C6416-ME,C7466-EC,C6698-ME,C5302-ME,C3971-ICT,C2921-CH,C5602-IC
E8505,C3971-ME,C4852-IT,C3971-IT,C5588-ME,C7128-ME,C4000-EC,C5583-ME,C8203-CH,C9356-EE,C7951-ICT
E7176,C3971-CSE,C4852-IT,C4852-IT,C6679-ME,C2342-EC,C7134-ME,C9769-EC,C6301-ICT,C8852-ICT,C4852-ICT
E9219,C4852-IT,C3971-CSE,C3971-ICT,C7466-ME,C5019-EC,C7479-ME,C2558-ME,C8743-EE,C7937-EE,C8403-EE
E8253,C2165-IT,C3971-CSE,C4852-IT,C6525-ME,C1745-ME,C3232-ME,C5302-ME,C2558-IC,C4922-EE,C9739-ICT
E3994,C2165-CSE,C4852-CSE,C4852-CSE,C8743-EC,C4650-ME,C8426-ME,C9751-EC,C9080-EE,C9769-ICT,C9590-ICT
E3710,C3971-CSE,C2165-ICT,C4852-CSE,C8200-EC,C3305-ME,C4852-ME,C6679-ME,C7134-ICT,C5532-ICT,C8203-ICT
E2146,C2165-IT,C2165-IT,C2165-ICT,C7343-EC,C8198-EC,C7128-EC,C7128-EC,C7071-ICT,C2000-CH,C7937-IC
E6424,C2165-ME,C4852-IT,C3971-IT,C4695-ME,C9590-ME,C9277-ME,C6525-ME,C7128-IC,C2458-ICT,C4695-CH
E1554,C4852-ICT,C2165-CSE,C2165-ME,C3305-EC,C7343-EC,C8772-ME,C7748-ME,C1902-EE,C3305-IC,C4515-CH
E7748,C4852-CSE,C2165-CSE,C3971-CSE,C2458-EC,C4885-EC,C2000-ME,C5989-ME,C5724-ICT,C6679-ICT,C7951-CH
E9783,C3971-CSE,C4852-IT,C2165-IT,C8743-ME,C9416-EC,C4083-ME,C7951-ME,C8813-ICT,C5132-IC,C8772-EE
E5167,C4852-ME,C4852-ME,C2165-ME,C1745-EC,C3232-ME,C6301-ME,C1648-EC,C9557-IC,C3305-EE,C1674-ICT
E8413,C2165-ICT,C2165-ICT,C2165-CSE,C2458-EC,C2051-EC,C3232-ME,C2642-EC,C1648-IC,C5848-IC,C9356-IC
E4132,C2165-ME,C3971-ICT,C2165-ICT,C4922-ME,C2642-ME,C9038-EC,C1961-ME,C9769-IC,C3900-ICT,C3900-EE
E2871,C2165-IT,C3971-ME,C2165-CSE,C4922-ME,C9590-EC,C8813-EC,C8743-ME,C8203-EE,C8813-EE,C4515-IC
E1477,C2165-ICT,C3971-IT,C3971-ICT,C5989-EC,C1648-EC,C6301-ME,C3973-ME,C1282-CH,C7134-ICT,C2996-CH
E3389,C2165-IT,C3971-ME,C4852-CSE,C7937-EC,C2165-EC,C2062-ME,C2002-EC,C1648-ICT,C6073-EE,C3397-CH
E1300,C4852-CSE,C2165-ICT,C2165-ME,C7479-ME,C8813-EC,C7479-EC,C9769-EC,C9557-EE,C3998-CH,C7134-CH
E8309,C3971-CSE,C2165-IT,C3971-IT,C6073-ME,C9846-ME,C6706-EC,C9769-ME,C9670-IC,C8203-IC,C8203-EE
E1652,C4852-CSE,C2165-ME,C4852-CSE,C1745-EC,C4852-ME,C5583-EC,C8743-EC,C4922-IC,C7479-IC,C2458-ICT
E5335,C3971-ICT,C4852-IT,C3971-IT,C7128-ME,C4922-EC,C7466-EC,C8772-EC,C9120-ICT,C8203-ICT,C5532-EE
E4150,C3971-ICT,C3971-CSE,C3971-IT,C9356-EC,C9557-ME,C1899-EC,C7134-ME,C5724-ICT,C8813-IC,C1282-CH
E9359,C4852-IT,C2165-ME,C2165-IT,C2000-ME,C7951-ME,C1899-EC,C8200-EC,C5588-EE,C8203-CH,C8426-EE
E4794,C2165-ME,C4852-ME,C3971-ICT,C1899-EC,C7906-ME,C8743-EC,C4953-EC,C8813-CH,C1961-CH,C5602-IC
E4293,C4852-ICT,C2165-ME,C3971-ICT,C7748-EC,C2165-ME,C3998-ME,C6706-EC,C8813-IC,C4852-EE,C2558-IC
E1600,C4852-IT,C2165-CSE,C3971-IT,C7937-ME,C5132-EC,C7937-EC,C9769-EC,C5132-EE,C5132-EE,C8611-ICT
E2527,C2165-ME,C4852-CSE,C2165-ICT,C1648-ME,C8203-EC,C2511-ME,C8198-EC,C3305-ICT,C9769-ICT,C9277-ICT
E6780,C2165-CSE,C4852-IT,C4852-ME,C2996-EC,C3998-ME,C4070-EC,C9846-ME,C2642-CH,C9277-IC,C1899-EE
E4958,C4852-ME,C3971-CSE,C4852-CSE,C8405-EC,C1902-ME,C7937-EC,C9590-ME,C5019-ICT,C3998-EE,C5132-ICT
E1632,C2165-ME,C2165-IT,C3971-IT,C2051-EC,C9143-ME,C2996-EC,C8405-EC,C4515-IC,C9143-IC,C9739-CH
E3409,C3971-ME,C4852-ME,C3971-ME,C4650-ME,C9143-ME,C2051-ME,C7071-ME,C8772-CH,C4515-ICT,C1674-CH
E6957,C4852-CSE,C4852-CSE,C2165-ME,C6706-EC,C4083-ME,C9769-ME,C8426-EC,C2000-CH,C4515-EE,C3799-ICT
E3010,C3971-ME,C3971-ME,C4852-ICT,C9356-ME,C4695-ME,C9143-EC,C9769-EC,C3397-IC,C1282-ICT,C3998-EE
E0770,C4852-IT,C4852-ICT,C3971-ICT,C1902-EC,C3998-ME,C9356-ME,C9356-ME,C7906-EE,C9557-ICT,C7071-CH
E4145,C3971-ICT,C3971-ICT,C2165-ME,C9751-EC,C4922-ME,C4515-EC,C3973-ME,C9846-ICT,C9670-ICT,C9557-CH
E9340,C4852-CSE,C3971-ME,C2165-ICT,C9751-EC,C7937-ME,C2062-EC,C5588-ME,C7134-ICT,C2051-EE,C3998-EE
E3111,C2165-ICT,C4852-IT,C4852-ICT,C3232-EC,C2458-EC,C1902-EC,C8426-EC,C6679-CH,C8743-EE,C2558-EE
E9712,C3971-CSE,C2165-ICT,C2165-IT,C7128-ME,C8405-ME,C9896-EC,C1745-EC,C8426-ICT,C4070-CH,C4650-ICT
E8598,C2165-IT,C3971-ICT,C4852-ME,C9356-EC,C5302-EC,C9038-EC,C4695-ME,C6792-ICT,C9038-EE,C9277-EE
E0295,C4852-CSE,C3971-CSE,C3971-ICT,C2642-EC,C9038-EC,C1902-ME,C5302-ME,C7951-CH,C5479-ICT,C2511-ICT
E7497,C2165-IT,C2165-ICT,C3971-IT,C2342-ME,C8403-EC,C2165-ME,C5207-ME,C9143-EE,C5049-EE,C8611-EE
E5883,C4852-CSE,C2165-IT,C2165-ME,C3397-EC,C3971-EC,C1648-EC,C9356-ME,C2642-EE,C1282-CH,C8813-ICT
E8148,C3971-ME,C4852-IT,C3971-ICT,C9670-ME,C9557-ME,C7748-EC,C3998-EC,C9356-CH,C8813-ICT,C1648-EE
E4621,C4852-ME,C2165-ICT,C4852-IT,C6073-EC,C4953-EC,C2458-EC,C6792-ME,C1648-CH,C7748-IC,C2558-EE
E0304,C4852-CSE,C2165-CSE,C4852-ME,C5848-ME,C2511-ME,C7479-ME,C3900-ME,C5132-IC,C5532-IC,C4515-IC
E4906,C4852-ME,C2165-ME,C3971-CSE,C8611-ME,C7343-ME,C8405-EC,C1902-EC,C7466-CH,C9896-EE,C4953-EE
E7201,C2165-ME,C4852-ICT,C2165-ICT,C2547-ME,C1745-ME,C4922-ME,C9080-EC,C2642-ICT,C7951-CH,C4650-ICT
E0034,C3971-IT,C4852-ICT,C2165-ME,C3305-ME,C9416-ME,C2002-ME,C7128-ME,C1961-CH,C4070-IC,C2458-IC
E8612,C2165-ME,C4852-CSE,C4852-IT,C5602-ME,C2342-EC,C4650-EC,C8200-EC,C9739-ICT,C2458-CH,C8813-CH
E4445,C2165-ME,C4852-ICT,C2165-ICT,C9769-ME,C6525-ME,C6525-EC,C8813-EC,C2165-ICT,C5302-IC,C9225-ICT
E9932,C3971-ME,C4852-ME,C2165-ME,C9739-ME,C5302-ME,C3397-EC,C9038-EC,C3971-EE,C9225-CH,C5724-EE
E8091,C2165-IT,C2165-ME,C3971-CSE,C9896-EC,C8426-ME,C3900-ME,C9557-ME,C5717-ICT,C4515-EE,C2342-EE
E5212,C2165-ICT,C3971-IT,C4852-CSE,C9356-EC,C7128-ME,C9590-ME,C3973-ME,C4566-CH,C2458-ICT,C8403-EE
E3016,C4852-CSE,C2165-ME,C3971-CSE,C1902-ME,C8203-ME,C9590-ME,C3397-ME,C2342-IC,C5583-EE,C8813-ICT
E1540,C4852-ICT,C4852-IT,C4852-CSE,C3971-ME,C2511-EC,C6416-ME,C1745-ME,C5532-CH,C7466-ICT,C5588-ICT
E0253,C4852-IT,C3971-IT,C4852-ME,C7951-ME,C9896-EC,C5302-ME,C5019-EC,C5989-ICT,C3397-EE,C6706-CH
E8993,C2165-ICT,C2165-IT,C2165-ICT,C9896-EC,C2165-EC,C8405-EC,C6792-EC,C9143-EE,C8611-EE,C9769-EE
E9180,C3971-IT,C3971-ME,C3971-ICT,C1899-EC,C4083-ME,C9557-ME,C9080-ME,C3900-EE,C9143-ICT,C5049-EE
E7105,C4852-ICT,C4852-CSE,C2165-ICT,C7343-ME,C7906-ME,C5049-ME,C8426-ME,C4070-ICT,C3973-CH,C4515-ICT
E1596,C3971-ICT,C2165-CSE,C4852-ME,C1899-ME,C4852-ME,C2165-EC,C2921-ME,C5132-EE,C8743-ICT,C4515-EE
E4082,C2165-ICT,C2165-ICT,C4852-IT,C5532-ME,C7906-ME,C7748-EC,C2458-EC,C2051-CH,C6706-CH,C3971-ICT
E8406,C3971-IT,C2165-ICT,C4852-ME,C9277-EC,C8405-ME,C8426-EC,C7071-ME,C1899-CH,C2062-EE,C6679-IC
E2149,C2165-ME,C4852-IT,C3971-ICT,C8772-ME,C2996-ME,C9590-ME,C7151-EC,C2996-ICT,C1282-ICT,C9557-IC
E9590,C3971-CSE,C4852-IT,C2165-CSE,C8772-EC,C2002-EC,C9896-ME,C9590-ME,C5132-ICT,C8813-EE,C5717-IC
E5078,C2165-IT,C3971-ICT,C3971-ME,C7466-EC,C4695-ME,C4566-ME,C6679-EC,C3900-IC,C2458-EE,C9277-EE
E8426,C2165-ME,C2165-ME,C2165-ICT,C1899-EC,C7748-ME,C9416-ME,C5302-ME,C5019-IC,C9416-EE,C8426-ICT
E0522,C4852-ICT,C4852-ME,C3971-IT,C7151-ME,C7343-EC,C1902-EC,C9590-ME,C8813-ICT,C6301-EE,C2511-IC
E2144,C3971-CSE,C3971-ICT,C4852-ME,C9896-ME,C4000-EC,C6792-ME,C2642-ME,C9846-IC,C2458-CH,C5602-IC
E0227,C3971-ME,C3971-ICT,C4852-CSE,C4922-EC,C9038-EC,C7466-ME,C5583-ME,C2996-CH,C8813-EE,C1902-IC
E6200,C3971-ME,C3971-ICT,C2165-CSE,C1282-ME,C5019-ME,C1902-EC,C5302-ME,C7151-ICT,C1282-EE,C6525-ICT
E7377,C3971-ICT,C4852-ME,C4852-ICT,C7479-ME,C2547-ME,C4953-EC,C9038-EC,C7128-ICT,C7128-IC,C7479-ICT
E1017,C2165-ICT,C4852-ME,C2165-IT,C4953-ME,C9356-ME,C9416-ME,C3998-EC,C1282-EE,C5479-EE,C7937-IC
E8738,C2165-ICT,C2165-ME,C3971-IT,C8743-EC,C5049-ME,C5602-ME,C3232-EC,C5717-ICT,C9080-ICT,C2002-CH
E1419,C4852-ICT,C2165-ICT,C3971-ICT,C5019-ME,C8198-EC,C8405-ME,C5989-EC,C8198-EE,C6679-ICT,C5724-ICT
E5172,C4852-ME,C3971-IT,C2165-ME,C4515-EC,C8405-EC,C7466-ME,C9846-ME,C2165-CH,C8743-EE,C8852-ICT
E9648,C4852-ICT,C3971-IT,C3971-ICT,C3232-EC,C8813-EC,C2458-EC,C7951-ME,C9769-CH,C5717-CH,C8743-ICT
E4881,C4852-ICT,C3971-ICT,C3971-ME,C6416-ME,C9670-ME,C8403-EC,C2051-EC,C9143-EE,C9739-IC,C3973-EE
E5691,C2165-ICT,C3971-ICT,C3971-CSE,C1745-EC,C6073-EC,C5532-ME,C9846-ME,C5532-ICT,C7479-ICT,C2342-ICT
E7094,C3971-CSE,C4852-ICT,C2165-ME,C3305-EC,C6073-ME,C2000-ME,C5207-ME,C1902-IC,C2921-ICT,C8743-IC
E7411,C3971-IT,C3971-ME,C2165-IT,C7128-EC,C1902-EC,C9590-EC,C8203-ME,C2051-CH,C5049-EE,C5724-CH
E4691,C4852-ICT,C3971-IT,C3971-ME,C2342-EC,C2165-ME,C7134-ME,C9896-ME,C9670-CH,C9416-CH,C5532-CH
E2301,C2165-ME,C2165-ME,C4852-IT,C5602-ME,C2921-ME,C9590-ME,C2062-ME,C9739-CH,C8198-CH,C6706-EE
E8752,C4852-ME,C2165-IT,C4852-ME,C9143-ME,C6525-ME,C2921-ME,C6792-EC,C1961-ICT,C5479-ICT,C4000-IC
E5576,C3971-CSE,C4852-ICT,C3971-IT,C2511-EC,C4953-ME,C8405-EC,C9751-EC,C2996-IC,C3397-ICT,C4515-CH
E6275,C2165-ME,C2165-CSE,C3971-ME,C4885-EC,C9416-EC,C3900-ME,C2342-ME,C8611-CH,C1902-IC,C1282-ICT
E3565,C3971-ICT,C2165-ME,C2165-IT,C7134-ME,C9739-ME,C2051-ME,C9846-ME,C9769-ICT,C9751-ICT,C8426-IC
E3241,C2165-IT,C2165-IT,C4852-ICT,C5848-ME,C2062-ME,C2002-ME,C7343-ME,C6525-IC,C1961-EE,C8852-EE
E8494,C4852-CSE,C4852-ICT,C4852-ICT,C1648-EC,C7071-ME,C2511-EC,C9896-EC,C7128-ICT,C2996-ICT,C4566-EE
E0563,C2165-CSE,C3971-ME,C3971-CSE,C7128-EC,C6792-ME,C5583-EC,C7134-ME,C1961-EE,C7937-EE,C2547-CH
E7994,C2165-ME,C3971-CSE,C4852-IT,C7343-ME,C9143-EC,C8611-ME,C7198-ME,C5588-CH,C9769-EE,C9590-CH
E4648,C2165-ICT,C4852-CSE,C4852-ME,C1745-EC,C7134-ME,C8743-EC,C4953-ME,C8405-EE,C4695-ICT,C5588-EE
E8075,C4852-ME,C3971-ME,C4852-ME,C5207-ME,C2165-ME,C5588-ME,C8405-ME,C4566-CH,C8200-CH,C9670-CH
E1901,C2165-ME,C3971-CSE,C3971-IT,C3232-EC,C5848-EC,C7951-ME,C5588-ME,C2558-ICT,C4922-EE,C9769-CH
E2420,C4852-IT,C2165-CSE,C3971-ME,C1282-ME,C7479-EC,C2051-EC,C1745-EC,C8743-CH,C2342-IC,C5717-ICT
E4359,C4852-ME,C3971-ICT,C4852-CSE,C9590-ME,C8426-ME,C7748-EC,C5848-ME,C8813-IC,C9896-CH,C4000-EE
E8455,C2165-ICT,C3971-CSE,C3971-IT,C8203-EC,C8743-ME,C6073-ME,C8200-ME,C7748-ICT,C8813-IC,C5049-IC
E8651,C2165-ICT,C2165-CSE,C3971-CSE,C9590-ME,C3900-EC,C6525-EC,C9769-EC,C5049-ICT,C9038-EE,C2342-IC
E2277,C2165-ME,C4852-CSE,C2165-IT,C3998-ME,C8405-EC,C7748-ME,C4650-EC,C2996-CH,C3971-ICT,C8203-CH
E1205,C4852-ICT,C2165-ICT,C2165-IT,C2342-EC,C4083-EC,C7128-ME,C3973-ME,C9670-EE,C3799-ICT,C7479-CH
E5631,C4852-CSE,C4852-ICT,C2165-CSE,C9225-ME,C3998-ME,C1648-EC,C7128-ME,C2458-IC,C8743-CH,C9557-IC
E6670,C4852-IT,C2165-CSE,C2165-CSE,C7937-EC,C4885-EC,C5848-EC,C6679-ME,C5479-EE,C8611-ICT,C4515-IC
E1444,C2165-CSE,C4852-IT,C3971-ME,C1648-ME,C7937-ME,C2642-EC,C3232-EC,C2062-IC,C4852-ICT,C9846-ICT
E7361,C3971-ME,C3971-IT,C3971-CSE,C1745-EC,C1902-EC,C2062-EC,C2062-ME,C1899-EE,C7906-EE,C3973-EE
E8072,C2165-ME,C3971-CSE,C2165-CSE,C9769-ME,C4922-ME,C3397-EC,C3232-EC,C3397-IC,C9225-CH,C6416-EE
E4892,C3971-CSE,C4852-ICT,C4852-ICT,C8772-EC,C6792-EC,C4922-EC,C5302-ME,C2558-ICT,C9739-IC,C3305-ICT
E9335,C2165-IT,C4852-ICT,C4852-ICT,C9416-ME,C2642-EC,C8426-ME,C6679-EC,C9225-EE,C5479-IC,C8403-EE
E4090,C2165-ME,C2165-IT,C2165-CSE,C5602-ME,C9143-EC,C1902-ME,C9590-ME,C9670-EE,C5049-IC,C5532-EE
E8178,C4852-IT,C4852-CSE,C3971-IT,C4000-EC,C6416-ME,C9590-EC,C5602-EC,C1902-ICT,C5049-ICT,C8426-ICT
E5741,C2165-IT,C2165-ICT,C2165-ICT,C1902-EC,C6706-EC,C8203-EC,C9769-ME,C5049-IC,C5019-IC,C8852-CH
E7436,C3971-IT,C4852-ICT,C4852-IT,C4515-EC,C7134-ME,C1961-ME,C4953-EC,C1674-ICT,C2511-IC,C2458-ICT
E5867,C3971-IT,C4852-ICT,C3971-ME,C2458-EC,C2000-ME,C7951-ME,C5532-ME,C9590-CH,C4695-CH,C5302-IC
E6271,C3971-IT,C2165-ME,C2165-ICT,C6706-EC,C5049-ME,C1899-EC,C7128-EC,C9120-EE,C2547-CH,C4650-EE
E1386,C4852-ME,C3971-IT,C2165-IT,C6679-EC,C8772-ME,C6525-ME,C5602-ME,C9356-EE,C8426-IC,C6525-ICT
E8418,C3971-ME,C2165-ME,C3971-ICT,C8198-ME,C1961-ME,C9670-ME,C2547-ME,C2062-EE,C4650-EE,C9557-CH
E0703,C4852-CSE,C2165-ICT,C2165-ICT,C3305-ME,C1648-EC,C7343-ME,C2558-EC,C5583-EE,C4852-EE,C7198-EE
E5955,C3971-IT,C4852-IT,C3971-ICT,C9896-EC,C6698-ME,C4695-ME,C6073-EC,C7937-IC,C8200-CH,C2165-ICT
E2769,C3971-ICT,C2165-ICT,C4852-IT,C8198-EC,C9769-EC,C7748-EC,C9038-EC,C2921-ICT,C7151-CH,C2165-CH
E7131,C4852-CSE,C3971-IT,C3971-CSE,C1648-ME,C7466-EC,C9670-ME,C3305-EC,C6792-EE,C9846-ICT,C5532-IC
E3301,C2165-ICT,C4852-ICT,C4852-CSE,C7343-ME,C2642-ME,C9751-EC,C1745-EC,C8200-CH,C5848-IC,C2002-ICT
E7643,C3971-IT,C2165-ME,C2165-IT,C7151-EC,C4083-ME,C2458-EC,C5132-EC,C5302-EE,C4885-CH,C2921-ICT
E2225,C3971-ICT,C4852-CSE,C2165-ICT,C7071-ME,C2002-ME,C2511-EC,C5602-EC,C5717-IC,C4070-ICT,C3397-CH
E6495,C2165-CSE,C3971-ME,C4852-IT,C1899-EC,C5602-EC,C5588-ME,C1902-ME,C7951-CH,C4852-ICT,C5989-EE
E6722,C3971-ME,C3971-CSE,C4852-ME,C2511-ME,C8200-EC,C6073-EC,C3900-ME,C9038-EE,C3397-EE,C5049-CH
E7690,C2165-ME,C4852-CSE,C3971-ICT,C3973-ME,C6525-EC,C9896-EC,C9769-ME,C8405-ICT,C2000-ICT,C3397-ICT
E0365,C4852-CSE,C4852-ME,C2165-ME,C7128-EC,C4083-ME,C6792-EC,C9356-ME,C2642-EE,C7343-ICT,C4566-ICT
E5311,C2165-IT,C4852-ICT,C2165-ME,C9277-ME,C8405-EC,C5583-EC,C9896-ME,C5207-ICT,C4566-ICT,C2000-CH
E3596,C2165-CSE,C2165-ICT,C2165-CSE,C4922-EC,C1961-ME,C2996-EC,C9670-ME,C7748-IC,C6073-ICT,C8426-IC
E7692,C4852-IT,C2165-ICT,C2165-CSE,C5049-ME,C6073-ME,C8200-EC,C2458-EC,C9356-IC,C2051-ICT,C2062-ICT
E5708,C3971-ME,C2165-IT,C4852-CSE,C5132-EC,C8203-ME,C7748-EC,C8426-EC,C7128-IC,C7151-CH,C8813-IC
E4216,C4852-CSE,C3971-ICT,C3971-ICT,C1899-EC,C6679-EC,C9038-EC,C5302-ME,C5019-EE,C4852-CH,C9120-CH
E7018,C4852-ME,C2165-CSE,C2165-IT,C8611-ME,C8426-ME,C8611-ME,C5302-ME,C5207-IC,C9670-ICT,C2051-EE
E4639,C2165-CSE,C4852-ME,C2165-IT,C3998-EC,C8403-EC,C5583-ME,C5602-EC,C3397-IC,C5049-CH,C1745-ICT
E7036,C3971-ME,C3971-CSE,C2165-CSE,C5588-ME,C1902-ME,C5019-ME,C5019-ME,C5049-IC,C8772-EE,C9557-CH
