Enrollmentno,sub1,sub2,sub3,sub4,sub5,Total,Rank
E3016,100,90,69,92,87,438,103
E1540,88,71,99,94,86,438,104
E0253,91,97,99,80,71,438,105
E8993,99,79,73,94,93,438,106
E9180,100,99,88,92,59,438,107
E7105,92,71,86,91,98,438,108
E1596,72,98,95,90,83,438,109
E4082,94,87,82,78,97,438,110
E8406,90,70,88,92,98,438,111
E2149,98,81,99,60,100,438,112
E9590,86,84,91,77,99,437,113
E5078,75,89,95,85,93,437,114
E8426,89,87,97,65,99,437,115
E0522,66,92,98,92,89,437,116
E2144,86,95,75,91,90,437,117
E0227,96,88,94,88,71,437,118
E6200,71,100,87,88,91,437,119
E7377,92,92,93,60,99,436,120
E1017,94,98,87,70,87,436,121
E8738,86,64,93,99,94,436,122
E1419,85,74,95,87,95,436,123
E5172,82,74,91,93,96,436,124
E9648,85,99,82,94,76,436,125
E4881,90,98,77,85,86,436,126
E5691,84,87,93,100,72,436,127
E7094,86,95,100,74,81,436,128
E7411,81,92,63,100,100,436,129
E4691,97,93,82,80,84,436,130
E2301,84,80,93,90,89,436,131
E8752,98,94,99,72,73,436,132
E5576,100,74,98,82,82,436,133
E6275,85,89,92,88,81,435,134
E3565,96,62,98,90,89,435,135
E3241,77,78,87,93,100,435,136
E8494,99,62,84,91,99,435,137
E0563,98,95,89,100,53,435,138
E7994,98,96,45,99,97,435,139
E4648,74,72,98,95,96,435,140
E8075,81,93,97,86,78,435,141
E1901,90,78,87,98,82,435,142
E2420,78,93,93,82,89,435,143
E4359,88,67,96,87,97,435,144
E8455,86,75,91,85,98,435,145
E8651,94,92,66,86,97,435,146
E2277,99,62,97,99,77,434,147
E1205,99,94,87,74,80,434,148
E5631,98,65,84,89,98,434,149
E6670,94,72,79,91,98,434,150
E1444,83,94,62,97,98,434,151
E7361,75,75,92,94,98,434,152
E8072,100,90,85,70,89,434,153
E4892,100,89,61,87,96,433,154
E9335,74,79,95,94,91,433,155
E4090,63,82,99,96,93,433,156
E8178,96,76,78,90,93,433,157
E5741,71,95,91,79,97,433,158
E7436,70,81,100,87,95,433,159
E5867,74,94,99,94,72,433,160
E6271,65,80,98,97,93,433,161
E1386,96,91,71,97,78,433,162
E8418,81,93,77,84,98,433,163
E0703,64,87,100,98,84,433,164
E5955,90,96,87,97,63,433,165
E2769,84,89,87,94,79,433,166
E7131,85,97,82,78,91,433,167
E3301,61,94,79,99,100,433,168
E7643,88,92,98,71,84,433,169
E2225,89,73,99,77,95,433,170
E6495,60,98,100,98,77,433,171
E6722,88,68,87,94,95,432,172
E7690,95,85,76,87,89,432,173
E0365,100,53,88,99,92,432,174
E5311,93,95,94,68,82,432,175
E3596,94,95,74,71,98,432,176
E7692,94,94,70,100,74,432,177
E5708,83,93,79,87,90,432,178
E4216,90,97,99,65,81,432,179
E7018,99,84,67,86,96,432,180
E4639,97,77,87,88,83,432,181
E7036,90,83,68,99,92,432,182
E7447,90,89,88,78,86,431,183
E0793,76,99,68,97,91,431,184
E3285,89,53,100,91,98,431,185
E9481,86,94,100,61,90,431,186
E2595,96,69,83,97,86,431,187
E1863,76,86,89,88,92,431,188
E8566,90,82,75,96,88,431,189
E0917,94,98,93,68,78,431,190
E5840,82,79,98,93,79,431,191
E8820,90,96,99,53,93,431,192
E4866,68,80,97,97,89,431,193
E5950,100,83,85,76,86,430,194
E2601,90,56,91,99,94,430,195
E4065,91,95,91,92,61,430,196
E2850,100,100,94,73,63,430,197
E7632,67,97,96,86,84,430,198
E5128,97,97,76,72,88,430,199
E8235,99,98,79,61,93,430,200
E0550,96,92,89,58,95,430,201
E0031,92,49,96,98,94,429,202
E5199,88,86,98,61,96,429,203
E0846,95,90,97,71,76,429,204
E2625,100,88,99,62,80,429,205
E9853,86,80,96,68,99,429,206
E2020,78,94,93,75,89,429,207
E3189,99,52,100,96,82,429,208
E2054,80,82,87,100,80,429,209
E7344,51,96,94,96,92,429,210
E5436,96,100,44,97,92,429,211
E7308,65,78,89,100,96,428,212
E0404,100,89,53,86,100,428,213
E3263,88,61,91,98,90,428,214
E4315,81,82,82,92,91,428,215
E3273,96,49,89,100,94,428,216
E2079,53,92,98,86,99,428,217
E6690,92,90,77,99,70,428,218
E2978,64,90,99,82,93,428,219
E5398,92,64,83,89,100,428,220
E2218,72,87,94,79,96,428,221
E2807,90,84,82,95,76,427,222
E3880,99,77,68,89,94,427,223
E4071,65,96,75,94,97,427,224
E0853,88,94,70,87,88,427,225
E6368,89,83,85,96,74,427,226
E3028,88,99,41,99,100,427,227
E0553,96,94,88,100,49,427,228
E4619,92,71,73,94,97,427,229
E1244,85,69,82,97,94,427,230
E3590,93,88,64,86,95,426,231
E6504,94,88,46,98,100,426,232
E1575,65,89,87,85,100,426,233
E8340,97,63,97,92,77,426,234
E9716,95,97,79,73,82,426,235
E9301,87,95,93,73,78,426,236
E8093,84,85,100,75,82,426,237
E9367,86,76,84,93,87,426,238
E4498,98,85,70,93,80,426,239
E3095,78,94,86,86,82,426,240
E5164,61,88,85,99,93,426,241
E1941,99,95,69,99,64,426,242
E3487,82,78,97,79,90,426,243
E1503,89,82,99,96,60,426,244
E5228,63,81,94,96,92,426,245
E7709,82,70,97,88,89,426,246
E9272,57,100,92,89,88,426,247
E9505,77,78,98,90,82,425,248
E8017,67,87,96,89,86,425,249
E7956,91,95,93,60,86,425,250
E6247,96,94,81,54,100,425,251
E9920,86,98,94,82,65,425,252
E2187,97,86,69,96,77,425,253
E4831,100,99,82,53,91,425,254
E4305,82,99,97,83,64,425,255
E4987,88,67,97,77,96,425,256
E2396,91,60,98,98,78,425,257
E7904,92,88,68,87,90,425,258
E6436,96,70,98,71,90,425,259
E4983,89,65,87,89,95,425,260
E6379,91,100,45,100,89,425,261
E5188,98,89,47,96,95,425,262
E5763,92,88,66,82,97,425,263
E7452,89,100,92,82,62,425,264
E6376,86,82,84,97,75,424,265
E0962,77,89,98,98,62,424,266
E9967,100,69,99,96,60,424,267
E5269,72,98,90,91,73,424,268
E9184,98,52,93,81,100,424,269
E8541,98,78,70,95,83,424,270
E3630,94,89,65,87,89,424,271
E0915,92,88,66,91,87,424,272
E1198,94,94,92,100,44,424,273
E0311,95,97,81,64,87,424,274
E4946,69,98,91,71,95,424,275
E5758,84,79,93,75,93,424,276
E1410,44,90,92,100,98,424,277
E0551,76,86,95,73,94,424,278
E0247,88,93,94,87,62,424,279
E7757,91,71,97,90,75,424,280
E7863,80,99,100,63,82,424,281
E9749,89,88,95,57,95,424,282
E6518,90,98,65,83,87,423,283
E3909,85,68,95,76,99,423,284
E6631,74,82,97,100,70,423,285
E6163,86,77,91,86,83,423,286
E8703,84,97,68,87,87,423,287
E3797,100,65,85,95,78,423,288
E4461,85,93,95,76,74,423,289
E0241,70,88,100,99,66,423,290
E1601,88,69,97,90,79,423,291
E8771,80,91,97,69,86,423,292
E8307,97,53,97,92,84,423,293
E3421,90,62,92,81,98,423,294
E8225,80,80,96,95,72,423,295
E4733,91,52,89,95,96,423,296
E3288,83,88,90,82,80,423,297
E4664,59,92,98,94,80,423,298
E3173,79,84,82,97,81,423,299
E3864,97,63,93,83,87,423,300
E6337,88,100,62,88,85,423,301
E9704,70,93,100,95,65,423,302
E5265,76,93,97,87,70,423,303
E7818,88,87,78,71,99,423,304
E3295,81,73,98,84,86,422,305
E0040,63,86,96,77,100,422,306
E7568,88,82,92,66,94,422,307
E9631,76,92,98,89,67,422,308
E5789,93,83,65,83,98,422,309
E8987,67,98,93,91,73,422,310
E5723,88,85,98,92,59,422,311
E7755,98,87,50,92,95,422,312
E3141,56,91,91,92,92,422,313
E5191,99,59,96,83,85,422,314
E1326,84,78,99,89,72,422,315
E8734,83,85,73,99,82,422,316
E5300,71,99,71,85,96,422,317
E4898,73,61,98,100,90,422,318
E4885,85,69,85,94,89,422,319
E8486,92,81,98,66,85,422,320
E7252,92,79,98,94,59,422,321
E6605,79,83,92,92,76,422,322
E7850,80,75,100,69,98,422,323
E7790,94,95,61,94,78,422,324
E5431,82,73,91,95,81,422,325
E0798,88,95,93,71,75,422,326
E0902,93,97,76,72,84,422,327
E7541,96,80,93,63,90,422,328
E2137,87,83,88,94,70,422,329
E4783,48,95,95,98,86,422,330
E2195,55,99,88,80,100,422,331
E2166,99,78,72,77,96,422,332
E0056,70,81,100,80,91,422,333
E0596,98,59,94,83,88,422,334
E1356,92,95,65,87,82,421,335
E4043,86,77,91,72,95,421,336
E8571,96,67,90,69,99,421,337
E7842,91,95,82,83,70,421,338
E4545,66,89,86,90,90,421,339
E6881,76,99,76,78,92,421,340
E6985,75,88,100,85,73,421,341
E8592,67,76,93,94,91,421,342
E9566,70,64,98,95,94,421,343
E3993,99,66,77,87,92,421,344
E7592,84,93,88,71,85,421,345
E3653,98,83,93,48,98,420,346
E7464,84,70,94,79,93,420,347
E1615,69,74,87,96,94,420,348
E5063,95,50,81,95,99,420,349
E8819,92,75,84,72,97,420,350
E1648,99,73,94,82,72,420,351
E3853,98,98,86,46,92,420,352
E9851,67,74,99,97,83,420,353
E0580,93,94,80,54,99,420,354
E1947,63,77,93,100,87,420,355
E5457,49,95,93,87,96,420,356
E9235,94,84,85,90,67,420,357
E1613,93,88,91,91,57,420,358
E6709,85,97,70,95,73,420,359
E8012,75,94,91,86,74,420,360
E3413,68,74,89,97,92,420,361
E6409,84,83,77,93,83,420,362
E9088,91,76,79,88,86,420,363
E3368,77,98,81,64,100,420,364
E7396,89,70,95,72,94,420,365
E8737,86,90,62,89,93,420,366
E4678,70,97,85,100,68,420,367
E7456,84,80,97,69,89,419,368
E1145,93,48,98,89,91,419,369
E3293,91,70,95,80,83,419,370
E2390,73,77,96,81,92,419,371
E7600,81,100,93,84,61,419,372
E4322,93,54,88,96,88,419,373
E3358,95,85,80,85,74,419,374
E3470,93,95,84,64,83,419,375
E5601,64,92,79,92,92,419,376
E4845,69,71,93,86,100,419,377
E1995,97,89,98,91,44,419,378
E3891,90,91,53,94,91,419,379
E8971,97,96,86,82,58,419,380
E1142,87,65,91,90,86,419,381
E7940,68,100,98,83,70,419,382
E9031,80,72,92,79,96,419,383
E7634,88,53,87,97,94,419,384
E1926,97,96,87,65,74,419,385
E7587,95,76,89,76,83,419,386
E7340,96,90,67,77,89,419,387
E4170,65,98,88,83,84,418,388
E4540,91,91,85,56,95,418,389
E3237,92,93,94,59,80,418,390
E3638,95,100,76,68,79,418,391
E2711,90,48,99,100,81,418,392
E1486,64,91,72,95,96,418,393
E2362,64,91,98,75,90,418,394
E2066,79,98,89,67,85,418,395
E1543,61,59,100,100,98,418,396
E8689,96,87,92,94,49,418,397
E0113,62,91,81,84,100,418,398
E5098,71,85,98,88,76,418,399
E4437,62,93,87,94,82,418,400
E1100,99,100,72,52,95,418,401
E6449,79,100,88,88,63,418,402
E8579,93,66,98,88,73,418,403
E2630,45,97,86,97,93,418,404
E8033,82,86,72,93,85,418,405
E7168,89,47,89,98,94,417,406
E6208,82,66,92,81,96,417,407
E2401,91,81,50,98,97,417,408
E3964,84,98,54,83,98,417,409
E9254,100,84,83,59,91,417,410
E1589,66,77,86,96,92,417,411
E4897,66,90,85,79,97,417,412
E6186,83,99,64,72,99,417,413
E1458,97,84,82,66,88,417,414
E5570,91,78,75,93,80,417,415
E3047,67,90,77,90,93,417,416
E5001,61,71,91,97,97,417,417
E3659,99,64,63,94,97,417,418
E2928,83,63,79,95,97,417,419
E9531,54,75,95,100,93,417,420
E3554,89,90,92,86,60,417,421
E6830,98,71,65,99,84,417,422
E5314,87,47,99,96,87,416,423
E5018,71,95,81,76,93,416,424
E5006,87,96,94,76,63,416,425
E0500,76,90,85,89,76,416,426
E4920,76,68,85,93,94,416,427
E1765,89,77,89,79,82,416,428
E4739,75,94,86,70,91,416,429
E8789,45,96,97,98,80,416,430
E3695,86,94,88,49,99,416,431
E3120,49,92,92,100,83,416,432
E7283,90,92,83,85,66,416,433
E1371,82,67,85,95,87,416,434
E9027,87,91,64,97,77,416,435
E1058,95,94,86,92,49,416,436
E6902,74,93,95,77,77,416,437
E9079,85,99,60,95,77,416,438
E7923,90,93,87,89,57,416,439
E6454,62,92,86,79,97,416,440
E0757,82,80,79,77,98,416,441
E8776,95,85,68,88,80,416,442
E3589,84,63,96,85,88,416,443
E3162,64,88,74,99,91,416,444
E6555,77,69,95,100,75,416,445
E6329,94,88,78,58,98,416,446
E9759,85,93,81,98,59,416,447
E6344,75,72,85,88,96,416,448
E1076,91,98,88,97,42,416,449
E4859,91,73,59,96,97,416,450
E2148,96,42,90,88,100,416,451
E7963,66,64,98,90,98,416,452
E4321,91,60,77,100,87,415,453
E3549,95,64,92,72,92,415,454
E8007,64,89,100,85,77,415,455
E1354,62,77,100,86,90,415,456
E1033,78,86,69,86,96,415,457
E0913,96,87,71,99,62,415,458
E6650,78,68,79,97,93,415,459
E1088,61,79,96,100,79,415,460
E6312,91,97,75,79,73,415,461
E6837,54,90,95,79,97,415,462
E4670,81,88,65,81,100,415,463
E4048,88,78,99,80,70,415,464
E4626,66,85,90,89,85,415,465
E8152,84,100,90,52,89,415,466
E3349,92,90,83,57,93,415,467
E2167,84,99,93,67,72,415,468
E2168,77,98,80,70,90,415,469
E7046,82,63,91,79,100,415,470
E4531,96,85,99,84,51,415,471
E6161,86,96,54,99,80,415,472
E0794,97,81,88,62,87,415,473
E0438,89,78,93,55,100,415,474
E2706,90,68,88,92,77,415,475
E6539,99,45,95,76,100,415,476
E3391,67,97,93,59,98,414,477
E1552,100,84,70,86,74,414,478
E5733,74,84,77,88,91,414,479
E1500,98,98,96,63,59,414,480
E8561,94,94,96,48,82,414,481
E8129,98,87,65,76,88,414,482
E3681,98,96,60,86,74,414,483
E6696,83,88,71,82,90,414,484
E1220,83,99,78,92,62,414,485
E4529,80,76,69,100,89,414,486
E0027,78,85,87,95,69,414,487
E4535,88,92,89,45,100,414,488
E9887,98,85,63,75,93,414,489
E8265,48,82,96,92,96,414,490
E6797,94,88,53,81,98,414,491
E4840,84,95,99,50,86,414,492
E2261,90,59,94,93,78,414,493
E9011,100,73,72,97,72,414,494
E3430,93,85,91,86,59,414,495
E3688,88,94,89,44,99,414,496
E4279,95,77,68,80,94,414,497
E8722,67,57,94,97,99,414,498
E0243,71,98,92,53,100,414,499
E1807,99,56,87,82,90,414,500
E9784,83,63,94,99,75,414,501
E5040,81,97,84,85,67,414,502
E7561,74,93,80,69,98,414,503
E1733,82,95,74,100,63,414,504
E2722,86,89,90,78,71,414,505
E9670,98,84,85,99,48,414,506
E3101,87,77,84,80,86,414,507
E6752,89,98,84,46,97,414,508
E2661,99,79,87,72,77,414,509
E9286,75,72,81,90,96,414,510
E2429,71,100,95,87,60,413,511
E7737,91,81,68,85,88,413,512
E3689,78,62,90,98,85,413,513
E6343,98,59,74,99,83,413,514
E3515,61,72,87,98,95,413,515
E3113,84,57,93,99,80,413,516
E1152,92,40,93,93,95,413,517
E1701,99,96,91,76,51,413,518
E3963,92,70,88,67,96,413,519
E7846,57,91,99,86,80,413,520
E7480,92,98,84,92,47,413,521
E3843,88,53,88,90,94,413,522
E2800,91,67,89,99,67,413,523
E3492,94,98,81,94,46,413,524
E7528,72,89,65,93,94,413,525
E2537,95,66,88,67,97,413,526
E2381,80,88,86,79,80,413,527
E9775,97,92,50,90,84,413,528
E6839,85,70,75,90,93,413,529
E2896,73,67,87,88,98,413,530
E7074,96,99,56,98,64,413,531
E5039,58,72,90,99,94,413,532
E6708,94,81,69,83,86,413,533
E5235,64,94,94,92,69,413,534
E8270,83,100,90,97,43,413,535
E2041,98,52,91,96,76,413,536
E4426,92,94,95,87,45,413,537
E2784,84,67,96,68,98,413,538
E8634,62,99,97,92,63,413,539
E3509,66,95,76,99,77,413,540
E3873,87,88,79,89,70,413,541
E1104,55,99,100,71,88,413,542
E4723,67,64,99,91,91,412,543
E7397,89,84,95,59,85,412,544
E2346,75,97,90,80,70,412,545
E2397,97,82,85,56,92,412,546
E1977,49,78,100,97,88,412,547
E3684,88,74,80,80,90,412,548
E6578,86,74,84,73,95,412,549
E2350,64,92,88,82,86,412,550
E1605,89,91,71,94,67,412,551
E4172,86,97,93,75,61,412,552
E5757,73,88,66,99,86,412,553
E8685,100,68,80,75,89,412,554
E0590,48,88,97,83,96,412,555
E0319,98,63,57,96,98,412,556
E7637,100,91,91,75,55,412,557
E4049,66,100,89,89,68,412,558
E2449,95,75,67,99,76,412,559
E2734,43,94,94,84,97,412,560
E1830,91,63,79,100,79,412,561
E7892,67,100,84,98,63,412,562
E3155,97,88,69,80,78,412,563
E9074,90,80,95,64,83,412,564
E8725,59,98,71,95,89,412,565
E7883,63,88,82,83,96,412,566
E5271,84,98,89,51,90,412,567
E0998,87,97,61,82,85,412,568
E6675,93,76,95,50,98,412,569
E1489,100,97,88,87,40,412,570
E9836,79,97,79,92,65,412,571
E3781,43,100,96,77,96,412,572
E2129,89,85,93,78,67,412,573
E9842,99,84,99,49,80,411,574
E0847,79,68,92,97,75,411,575
E5170,79,48,100,86,98,411,576
E7235,100,84,69,71,87,411,577
E1227,90,70,93,70,88,411,578
E4712,94,57,77,85,98,411,579
E3789,95,68,92,99,57,411,580
E6347,88,62,71,93,97,411,581
E0325,97,99,61,81,73,411,582
E7734,96,76,84,63,92,411,583
E0717,86,60,96,83,86,411,584
E3739,97,81,74,89,70,411,585
E4251,95,72,99,45,100,411,586
E8471,91,60,93,85,82,411,587
E7247,99,93,97,53,69,411,588
E5145,69,96,61,87,98,411,589
E8779,76,89,59,98,89,411,590
E7426,87,94,90,48,92,411,591
E6545,78,96,83,61,93,411,592
E8927,40,96,90,94,91,411,593
E1212,74,98,84,68,87,411,594
E3513,93,97,77,67,77,411,595
E6461,72,60,86,100,93,411,596
E7641,71,77,98,93,72,411,597
E0705,96,71,97,50,97,411,598
E5177,85,47,87,100,92,411,599
E7381,61,83,84,85,98,411,600
E6398,67,59,100,85,100,411,601
E8740,81,90,82,93,65,411,602
E8441,89,98,79,68,77,411,603
E6331,92,79,77,100,63,411,604
E9902,70,97,95,93,56,411,605
E1103,88,87,68,100,68,411,606
E1054,91,78,89,76,77,411,607
E9275,85,55,92,85,94,411,608
E5767,88,99,61,69,93,410,609
E4771,76,97,96,56,85,410,610
E1867,64,76,93,83,94,410,611
E4410,85,99,90,49,87,410,612
E1968,76,91,63,99,81,410,613
E1079,53,96,92,95,74,410,614
E7689,100,77,56,83,94,410,615
E4070,96,64,80,83,87,410,616
E0510,90,82,84,69,85,410,617
E4925,86,80,63,89,92,410,618
E7139,88,88,61,98,75,410,619
E0696,62,92,80,92,84,410,620
E1647,90,58,100,65,97,410,621
E6044,100,88,61,83,78,410,622
E7560,81,95,70,68,96,410,623
E9502,79,74,89,75,93,410,624
E9306,91,53,87,92,87,410,625
E8214,72,84,76,91,87,410,626
E3536,72,74,80,97,87,410,627
E4381,74,83,79,83,91,410,628
E2482,96,50,100,82,82,410,629
E0134,88,72,99,88,63,410,630
E9950,83,100,91,54,82,410,631
E2265,82,57,87,96,88,410,632
E5445,97,92,58,64,99,410,633
E5669,99,89,42,98,82,410,634
E0093,96,99,51,89,75,410,635
E1370,100,46,82,84,98,410,636
E6848,62,67,94,93,94,410,637
E9792,98,78,61,94,79,410,638
E4338,96,78,78,77,81,410,639
E1810,97,62,65,89,97,410,640
E6069,57,71,90,98,94,410,641
E2959,86,41,98,85,100,410,642
E5426,84,66,96,72,92,410,643
E4239,94,64,89,79,84,410,644
E4546,89,94,87,76,64,410,645
E4456,87,91,92,85,55,410,646
E5621,96,90,73,63,88,410,647
E8280,80,76,96,63,95,410,648
E2707,94,61,99,77,78,409,649
E9844,84,70,63,96,96,409,650
E4044,89,60,98,70,92,409,651
E1160,99,78,66,70,96,409,652
E6445,54,96,95,76,88,409,653
E5775,59,77,92,86,95,409,654
E2758,100,92,88,47,82,409,655
E5327,85,85,86,54,99,409,656
E0518,74,100,83,75,77,409,657
E7457,95,78,90,50,96,409,658
E5928,89,58,94,83,85,409,659
E8115,73,93,83,86,74,409,660
E6320,89,93,74,68,85,409,661
E9417,70,98,61,93,87,409,662
E4203,91,75,53,90,100,409,663
E8946,96,86,67,64,96,409,664
E4942,87,90,78,87,67,409,665
E5288,97,80,61,97,74,409,666
E9067,88,72,85,67,97,409,667
E0586,93,89,87,89,51,409,668
E3119,73,88,81,76,91,409,669
E8306,80,96,87,97,49,409,670
E8106,70,97,76,86,80,409,671
E0513,92,96,91,73,57,409,672
E1336,100,67,89,61,92,409,673
E6566,94,92,53,99,71,409,674
E0749,100,54,100,91,64,409,675
E2204,60,97,75,97,80,409,676
E2402,96,78,53,90,92,409,677
E0755,95,84,70,100,60,409,678
E3256,95,80,95,46,93,409,679
E7290,99,91,51,100,68,409,680
E5261,60,69,95,88,97,409,681
E1463,98,81,96,57,76,408,682
E3279,91,57,95,90,75,408,683
E5075,93,86,85,45,99,408,684
E5007,98,44,94,86,86,408,685
E3899,97,77,98,57,79,408,686
E6187,91,92,44,88,93,408,687
E5939,63,72,89,84,100,408,688
E1362,96,51,76,87,98,408,689
E9207,87,43,84,100,94,408,690
E0342,90,91,74,61,92,408,691
E0167,99,65,66,90,88,408,692
E2741,64,70,75,99,100,408,693
E7777,96,97,88,60,67,408,694
E8747,88,96,97,43,84,408,695
E7586,52,98,94,72,92,408,696
E3122,91,59,89,71,98,408,697
E5806,80,91,100,44,93,408,698
E2517,73,83,69,97,86,408,699
E2606,81,94,91,82,60,408,700
E2622,99,85,63,88,73,408,701
E9942,89,87,62,76,94,408,702
E7511,62,71,94,94,87,408,703
E0316,58,100,80,91,79,408,704
E9224,76,95,100,53,84,408,705
E9458,54,98,89,89,78,408,706
E8945,93,96,55,78,86,408,707
E7514,64,71,93,93,87,408,708
E5660,90,69,78,73,98,408,709
E6083,89,96,89,63,71,408,710
E8175,82,96,66,69,95,408,711
E0710,71,96,74,79,88,408,712
E4430,81,73,94,70,90,408,713
E6470,56,94,78,84,96,408,714
E9525,99,99,90,59,61,408,715
E4876,54,100,89,68,97,408,716
E5876,68,76,78,96,90,408,717
E6057,65,81,100,98,64,408,718
E6854,91,84,95,75,63,408,719
E8149,61,98,86,90,73,408,720
E9882,72,95,51,97,93,408,721
E3384,79,90,68,80,91,408,722
E6859,56,90,94,87,81,408,723
E8840,66,45,97,100,100,408,724
E8527,86,99,69,65,89,408,725
E7934,87,98,84,70,68,407,726
E6349,67,94,75,73,98,407,727
E1751,71,97,75,65,99,407,728
E7745,98,57,93,92,67,407,729
E5401,95,84,72,70,86,407,730
E6451,90,81,82,75,79,407,731
E0013,78,91,69,81,88,407,732
E3506,61,89,62,99,96,407,733
E8227,82,76,60,97,92,407,734
E6260,73,85,90,73,86,407,735
E6648,61,60,88,98,100,407,736
E5805,64,93,82,88,80,407,737
E2421,84,92,92,41,98,407,738
E7382,98,74,68,81,86,407,739
E1043,98,97,59,77,76,407,740
E4186,91,86,43,91,96,407,741
E7819,64,95,98,81,69,407,742
E9778,95,99,77,63,73,407,743
E3727,82,84,57,91,93,407,744
E7135,72,80,98,87,70,407,745
E1065,89,68,96,60,94,407,746
E5690,97,86,96,43,85,407,747
E8808,62,95,60,98,92,407,748
E0251,92,96,83,52,84,407,749
E6118,84,95,78,88,62,407,750
E5760,98,88,59,93,69,407,751
E5938,83,91,70,100,63,407,752
E3261,95,92,53,70,97,407,753
E6214,64,95,76,100,72,407,754
E3290,57,83,85,95,87,407,755
E6970,87,95,50,81,94,407,756
E4517,67,98,96,60,86,407,757
E4790,94,61,84,76,92,407,758
E5684,91,86,98,80,52,407,759
E9194,97,100,56,99,55,407,760
E5351,74,86,92,74,81,407,761
E4205,93,97,94,45,78,407,762
E0955,71,90,100,49,97,407,763
E3820,87,100,95,66,59,407,764
E1735,68,97,81,84,77,407,765
E0416,92,86,86,97,45,406,766
E8023,64,75,78,100,89,406,767
E9997,86,53,100,69,98,406,768
E5804,96,78,79,91,62,406,769
E7040,96,84,65,64,97,406,770
E4457,87,59,79,92,89,406,771
E4218,97,92,86,86,45,406,772
E0302,89,67,80,78,92,406,773
